"State,District",
"Chhattisgarh,Kanker",
"Chhattisgarh,Korba",
"Chhattisgarh,Koriya",
"Chhattisgarh,Mahasamund",
"Chhattisgarh,Mungeli",
"Chhattisgarh,Narayanpur",
"Chhattisgarh,Raigarh",
"Chhattisgarh,Rajnandgaon",
"Chhattisgarh,Raipur",
"Chhattisgarh,Sukma",
"Chhattisgarh,Surguja",
"Chhattisgarh,Kondagaon",
"Goa,North Goa",
"Goa,South Goa",
"Gujarat,Ahmedabad",
"Gujarat,Amreli",
"Gujarat,Anand",
"Gujarat,Aravalli",
"Gujarat,Banaskantha",
"Gujarat,Bharuch",
"Gujarat,Bhavnagar",
"Gujarat,Dahod",
"Gujarat,Dangs",
"Gujarat,Devbhoomi Dwarka",
"Gujarat,Gandhinagar",
"Gujarat,Junagadh",
"Gujarat,Kachchh",
"Gujarat,Kheda",
"Gujarat,Mehsana",
"Gujarat,Narmada",
"Gujarat,Navsari",
"Gujarat,Patan",
"Gujarat,Panchmahal",
"Gujarat,Porbandar",
"Gujarat,Rajkot",
"Gujarat,Sabarkantha",
"Gujarat,Surat",
"Gujarat,Surendranagar",
"Gujarat,Tapi",
"Gujarat,Vadodara",
"Gujarat,Valsad",
"Haryana,Ambala",
"Haryana,Bhiwani",
"Haryana,Fatehabad",
"Haryana,Gurugram",
"Haryana,Hisar",
"Haryana,Jhajjar",
"Haryana,Jind",
"Haryana,Karnal",
"Haryana,Kaithal",
"Haryana,Kurukshetra",
"Haryana,Panipat",
"Haryana,Palwal",
"Haryana,Panchkula",
"Haryana,Rewari",
"Haryana,Rohtak",
"Haryana,Sirsa",
"Haryana,Sonipat",
"Haryana,Yamunanagar",
"Himachal Pradesh,Bilaspur",
"Himachal Pradesh,Chamba",
"Himachal Pradesh,Hamirpur",
"Himachal Pradesh,Kangra",
"Himachal Pradesh,Kinnaur",
"Himachal Pradesh,Kul",ar
"Himachal Pradesh,Mandi",
"Himachal Pradesh,Shimla",
"Himachal Pradesh,Sirmaur",
"Himachal Pradesh,Solan",
"Himachal Pradesh,Una",
"Jammu and Kashmir,Anantnag",
"Jammu and Kashmir,Bandipora",
"Jammu and Kashmir,Baramulla",
"Jammu and Kashmir,Doda",
"Jammu and Kashmir,Ganderbal",
"Jammu and Kashmir,Jammu",
"Jammu and Kashmir,Kathua",
"Jammu and Kashmir,Kishtwar",
"Jammu and Kashmir,Kulgam",
"Jammu and Kashmir,Kupwara",
"Jammu and Kashmir,Pulwama",
"Jammu and Kashmir,Poonch",
"Jammu and Kashmir,Rajouri",
"Jammu and Kashmir,Ramban",
"Jammu and Kashmir,Reasi",
"Jammu and Kashmir,Shopian",
"Jammu and Kashmir,Srinagar",
"Jammu and Kashmir,Udhampur",
"Jharkhand,Bokaro",
"Jharkhand,Chatra",
"Jharkhand,Deoghar",
"Jharkhand,Dhanbad",
"Jharkhand,Dumka",
"Jharkhand,East Singhbhum",
"Jharkhand,Giridih",
"Jharkhand,Gumla",
"Jharkhand,Hazaribagh",
"Jharkhand,Jamtara",
"Jharkhand,Khunti",
"Jharkhand,Koderma",
"Jharkhand,Latehar",
"Jharkhand,Lohardaga",
"Jharkhand,Pakur",
"Jharkhand,Pashchimi Singhbhum",
"Jharkhand,Ramgarh",
"Jharkhand,Ranchi",
"Jharkhand,Sahibganj",
"Jharkhand,Saraikela Kharsawan",
"Jharkhand,Simdega",
"Karnataka,Bangalore Rural",
"Karnataka,Bangalore Urban",
"Karnataka,Belagavi",
"Karnataka,Ballari",
"Karnataka,Bidar",
"Karnataka,Bagalkot",
"Karnataka,Chamarajanagar",
"Karnataka,Chikballapur",
"Karnataka,Chikkamagaluru",
"Karnataka,Chitradurga",
"Karnataka,Dakshina Kannada",
"Karnataka,Davanagere",
"Karnataka,Dharwad",
"Karnataka,Gadag",
"Karnataka,Hassan",
"Karnataka,Haveri",
"Karnataka,Kalaburagi",
"Karnataka,Kodagu",
"Karnataka,Kolar",
"Karnataka,Koppal",
"Karnataka,Mandya",
"Karnataka,Mysuru",
"Karnataka,Ramanagara",
"Karnataka,Shivamogga",
"Karnataka,Tumakuru",
"Karnataka,Udupi",
"Karnataka,Uttara Kannada",
"Karnataka,Yadgir",
"Kerala,Alappuzha",
"Kerala,Ernakulam",
"Kerala,Idukki",
"Kerala,Kannur",
"Kerala,Kasaragod",
"Kerala,Kollam",
"Kerala,Kottayam",
"Kerala,Kozhikode",
"Kerala,Malappuram",
"Kerala,Palakkad",
"Kerala,Pathanamthitta",
"Kerala,Thiruvananthapuram",
"Kerala,Thrissur",
"Kerala,Wayanad",
"Madhya Pradesh,Ahmadpur East",
"Madhya Pradesh,Alirajpur",
"Madhya Pradesh,Anuppur",
"Madhya Pradesh,Ashoknagar",
"Madhya Pradesh,Balaghat",
"Madhya Pradesh,Bhopal",
"Madhya Pradesh,Burhanpur",
"Madhya Pradesh,Chhatarpur",
"Madhya Pradesh,Chhindwara",
"Madhya Pradesh,Damoh",
"Madhya Pradesh,Datia",
"Madhya Pradesh,Dewas",
"Madhya Pradesh,Dhar",
"Madhya Pradesh,Dindori",
"Madhya Pradesh,Guna",
"Madhya Pradesh,Gwalior",
"Madhya Pradesh,Harda",
"Madhya Pradesh,Hoshangabad",
"Madhya Pradesh,Indore",
"Madhya Pradesh,Jabalpur",
"Madhya Pradesh,Jhabua",
"Madhya Pradesh,Khandwa",
"Madhya Pradesh,Khargone",
"Madhya Pradesh,Rewa",
"Madhya Pradesh,Satna",
"Madhya Pradesh,Sehore",
"Madhya Pradesh,Shahdol",
"Madhya Pradesh,Shajapur",
"Madhya Pradesh,Sheopur",
"Madhya Pradesh,Shivpuri",
"Madhya Pradesh,Sidhi",
"Madhya Pradesh,Singrauli",
"Madhya Pradesh,Tikamgarh",
"Madhya Pradesh,Ujjain",
"Madhya Pradesh,Umaria",
"Madhya Pradesh,Vidisha",
"Maharashtra,Ahmednagar",
"Maharashtra,Akola",
"Maharashtra,Amravati",
"Maharashtra,Aurangabad",
"Maharashtra,Beed",
"Maharashtra,Bhandara",
"Maharashtra,Buldhana",
"Maharashtra,Chandrapur",
"Maharashtra, Dhule",
"Maharashtra,Gadchiroli",
"Maharashtra,Gondia",
"Maharashtra,Hingoli",
"Maharashtra,Jalgaon",
"Maharashtra,Jalna",
"Maharashtra,Latur",
"Maharashtra,Mumbai City",
"Maharashtra,Mumbai Suburban",
"Maharashtra,Nagpur",
"Maharashtra,Nanded",
"Maharashtra,Nandurbar",
"Maharashtra,Nashik",
"Maharashtra,Osmanabad",
"Maharashtra,Palghar",
"Maharashtra,Parbhani",
"Maharashtra,Pune",
"Maharashtra,Raigad",
"Maharashtra,Ratnagiri",
"Maharashtra,Sangli",
"Maharashtra,Satara",
"Maharashtra, Sindhudurg",
"Maharashtra,Solapur",
"Maharashtra,Thane",
"Maharashtra, Wardha",
"Maharashtra, Washim",
"Maharashtra, Yavatmal",
"Manipur,Bishnupur",
"Manipur,Chandel",
"Manipur,Churachandpur",
"Manipur,Imphal East",
"Manipur,Imphal West",
"Manipur,Jiribam",
"Manipur,Kamjong",
"Manipur,Kangpokpi",
"Manipur,Senapati",
"Manipur,Tamenglong",
"Manipur,Tengnoupal",
"Manipur,Thoubal",
"Manipur,Ukhrul",
"Meghalaya,East Garo Hills",
"Meghalaya,East Jaintia Hills",
"Meghalaya,East Khasi Hills",
"Meghalaya,North Garo Hills",
"Meghalaya,South Garo Hills",
"Meghalaya,South West Garo Hills",
"Meghalaya,South West Khasi Hills",
"Meghalaya,West Garo Hills",
"Meghalaya,West Jaintia Hills",
"Meghalaya,West Khasi Hills",
"Mizoram,Aizawl",
"Mizoram,Champhai",
"Mizoram,Kolasib",
"Mizoram,Lawngtlai",
"Mizoram,Lunglei",
"Mizoram,Mamit",
"Mizoram,Saiha",
"Mizoram,Serchhip",
"Nagaland,Dimapur",
"Nagaland,Kiphire",
"Nagaland,Kohima",
"Nagaland,Longleng",
"Nagaland,Mokokchung",
"Nagaland,Mon",
"Nagaland,Peren",
"Nagaland,Phek",
"Nagaland,Tuensang",
"Nagaland,Wokha",
"Nagaland,Zunheboto",
"Odisha,Angul",
"Odisha,Balangir",
"Odisha,Balasore",
"Odisha,Bargarh",
"Odisha,Bhadrak",
"Odisha,Boudh",
"Odisha,Cuttack",
"Odisha,Deogarh",
"Odisha,Dhenkanal",
"Odisha,Gajapati",
"Odisha,Ganjam",
"Odisha,Jagatsinghpur",
"Odisha,Jajpur",
"Odisha,Jaipur",
"Odisha,Kalahandi",
"Odisha,Kandhamal",
"Odisha,Kendrapara",
"Odisha,Keonjhar",
"Odisha,Khordha",
"Odisha,Malkangiri",
"Odisha,Mayurbhanj",
"Odisha,Nabarangpur",
"Odisha,Nayagarh",
"Odisha,Nuapada",
"Odisha,Puri",
"Odisha,Rayagada",
"Odisha,Sambalpur",
"Odisha,Sonepur",
"Odisha,Sundargarh",
"Punjab,Amritsar",
"Punjab,Barnala",
"Punjab,Bathinda",
"Punjab,Faridkot",
"Punjab,Fatehgarh Sahib",
"Punjab,Fazilka",
"Punjab,Firozpur",
"Punjab,Gurdaspur",
"Punjab,Hoshiarpur",
"Punjab,Jalandhar",
"Punjab,Kapurthala",
"Punjab,Ludhiana",
"Punjab,Malerkotla",
"Punjab,Mansa",
"Punjab,Mehsana",
"Punjab,Patiala",
"Punjab,Rupnagar",
"Punjab,Sangrur",
"Punjab,Shahid Bhagat Singh Nagar",
"Punjab,Talwandi Sabo",
"Punjab,Tarn Taran",
"Rajasthan,Ajmer",
"Rajasthan,Alwar",
"Rajasthan,Banswara",
"Rajasthan,Baran",
"Rajasthan,Barmer",
"Rajasthan,Bharatpur",
"Rajasthan,Bhilwara",
"Rajasthan,Bikaner",
"Rajasthan,Bundi",
"Rajasthan,Chittorgarh",
"Rajasthan,Churu",
"Rajasthan,Dausa",
"Rajasthan,Dhaulpur",
"Rajasthan,Dungarpur",
"Rajasthan,Hanumangarh",
"Rajasthan,Jaipur",
"Rajasthan,Jaisalmer",
"Rajasthan,Jalore",
"Rajasthan,Jhunjhunu",
"Rajasthan,Jodhpur",
"Rajasthan,Karauli",
"Rajasthan,Kota",
"Rajasthan,Nagaur",
"Rajasthan,Pali",
"Rajasthan,Pratapgarh",
"Rajasthan,Rajsamand",
"Rajasthan,Sawai Madhopur",
"Rajasthan,Sikar",
"Rajasthan,Sirohi",
"Rajasthan,Sri Ganganagar",
"Rajasthan,Tonk",
"Rajasthan,Udaipur",
"Sikkim,East Sikkim",
"Sikkim,North Sikkim",
"Sikkim,South Sikkim",
"Sikkim,West Sikkim",
"Tamil Nadu,Ariyalur",
"Tamil Nadu,Chengalpattu",
"Tamil Nadu,Chennai",
"Tamil Nadu,Coimbatore",
"Tamil Nadu,Cuddalore",
"Tamil Nadu,Dharmapuri",
"Tamil Nadu,Dindigul",
"Tamil Nadu,Erode",
"Tamil Nadu,Kallakurichi",
"Tamil Nadu,Kancheepuram",
"Tamil Nadu,Karur",
"Tamil Nadu,Kanyakumari",
"Tamil Nadu,Krishnagiri",
"Tamil Nadu,Madurai",
"Tamil Nadu,Mayiladuthurai",
"Tamil Nadu,Nagapattinam",
"Tamil Nadu,Namakkal",
"Tamil Nadu,Perambalur",
"Tamil Nadu,Pudukkottai",
"Tamil Nadu,Ramanathapuram",
"Tamil Nadu,Salem",
"Tamil Nadu,Sivaganga",
"Tamil Nadu,Thanjavur",
"Tamil Nadu,Theni",
"Tamil Nadu,Thoothukudi",
"Tamil Nadu,Tiruchirappalli",
"Tamil Nadu,Tirunelveli",
"Tamil Nadu,Tirupattur",
"Tamil Nadu,Tiruppur",
"Tamil Nadu,Tiruvallur",
"Tamil Nadu,Tiruvannamalai",
"Tamil Nadu,Tiruvarur",
"Tamil Nadu,Vellore",
"Tamil Nadu,Viluppuram",
"Tamil Nadu,Virudhunagar",
"Telangana,Adilabad",
"Telangana,Bhadradri Kothagudem",
"Telangana,Hyderabad",
"Telangana,Jagtial",
"Telangana,Jangaon",
"Telangana,Jayashankar Bhupalpally",
"Telangana,Jogulamba Gadwal",
"Telangana,Kamareddy",
"Telangana,Karimnagar",
"Telangana,Kumurambheem Asifabad",
"Telangana,Mahabubabad",
"Telangana,Mahbubnagar",
"Telangana,Mancherial",
"Telangana,Medak",
"Telangana,Medchal Malkajgiri",
"Telangana,Nagarkurnool",
"Telangana,Nalgonda",
"Telangana,Narayanpet",
"Telangana,Nirmal",
"Telangana,Nizamabad",
"Telangana,Peddapalli",
"Telangana,Rajanna Sircilla",
"Telangana,Rangareddy",
"Telangana,Sangareddy",
"Telangana,Siddipet",
"Telangana,Suryapet",
"Telangana,Vikarabad",
"Telangana,Warangal Rural",
"Telangana,Warangal Urban",
"Telangana,Yadadri Bhuvanagiri",
"Tripura,Dhalai",
"Tripura,Gomati",
"Tripura,Khowai",
"Tripura,North Tripura",
"Tripura,Sepahijala",
"Tripura,South Tripura",
"Tripura,Unakoti",
"Tripura,West Tripura",
"Uttar Pradesh,Agra",
"Uttar Pradesh,Aligarh",
"Uttar Pradesh,Ambedkar Nagar",
"Uttar Pradesh,Amethi",
"Uttar Pradesh,Amroha",
"Uttar Pradesh,Auraiya",
"Uttar Pradesh,Azamgarh",
"Uttar Pradesh,Badaun",
"Uttar Pradesh,Baghpat",
"Uttar Pradesh,Bahraich",
"Uttar Pradesh,Ballia",
"Uttar Pradesh,Balrampur",
"Uttar Pradesh,Banda",
"Uttar Pradesh,Barabanki",
"Uttar Pradesh,Bareilly",
"Uttar Pradesh,Basti",
"Uttar Pradesh,Bhadohi",
"Uttar Pradesh,Bijnor",
"Uttar Pradesh,Budaun",
"Uttar Pradesh,Bulandshahr",
"Uttar Pradesh,Chandauli",
"Uttar Pradesh,Chitrakoot",
"Uttar Pradesh,Deoria",
"Uttar Pradesh,Etah",
"Uttar Pradesh,Etawah",
"Uttar Pradesh,Faizabad",
"Uttar Pradesh,Farrukhabad",
"Uttar Pradesh,Fatehpur",
"Uttar Pradesh,Firozabad",
"Uttar Pradesh,Gautam Buddha Nagar",
"Uttar Pradesh,Ghaziabad",
"Uttar Pradesh,Ghazipur",
"Uttar Pradesh,Gonda",
"Uttar Pradesh,Gorakhpur",
"Uttar Pradesh,Hamirpur",
"Uttar Pradesh,Hapur",
"Uttar Pradesh,Hardoi",
"Uttar Pradesh,Hathras",
"Uttar Pradesh,Jalaun",
"Uttar Pradesh,Jaunpur",
"Uttar Pradesh,Jhansi",
"Uttar Pradesh,Kannauj",
"Uttar Pradesh,Kanpur Dehat",
"Uttar Pradesh,Kanpur Nagar",
"Uttar Pradesh,Kanshiram Nagar",
"Uttar Pradesh,Kaushambi",
"Uttar Pradesh,Kheri",
"Uttar Pradesh,Kushinagar",
"Uttar Pradesh,Lalitpur",
"Uttar Pradesh,Lucknow",
"Uttar Pradesh,Maharajganj",
"Uttar Pradesh,Mahoba",
"Uttar Pradesh,Mainpuri",
"Uttar Pradesh,Mathura",
"Uttar Pradesh,Mau",
"Uttar Pradesh,Meerut",
"Uttar Pradesh,Mirzapur",
"Uttar Pradesh,Moradabad",
"Uttar Pradesh,Muzaffarnagar",
"Uttar Pradesh,Pilibhit",
"Uttar Pradesh,Pratapgarh",
"Uttar Pradesh,Rae Bareli",
"Uttar Pradesh,Rampur",
"Uttar Pradesh,Saharanpur",
"Uttar Pradesh,Sambhal",
"Uttar Pradesh,Shahjahanpur",
"Uttar Pradesh,Shamli",
"Uttar Pradesh,Shrawasti",
"Uttar Pradesh,Sitapur",
"Uttar Pradesh,Sonbhadra",
"Uttar Pradesh,Sultanpur",
"Uttar Pradesh,Unnao",
"Uttar Pradesh,Varanasi",
"Uttarakhand,Almora",
"Uttarakhand,Bageshwar",
"Uttarakhand,Chamoli",
"Uttarakhand,Champawat",
"Uttarakhand,Dehradun",
"Uttarakhand,Haridwar",
"Uttarakhand,Nainital",
"Uttarakhand,Pauri Garhwal",
"Uttarakhand,Pithoragarh",
"Uttarakhand,Rudraprayag",
"Uttarakhand,Tehri Garhwal",
"Uttarakhand,Uttarkashi",
"West Bengal,Alipurduar",
"West Bengal,Bankura",
"West Bengal,Birbhum",
"West Bengal,Cooch Behar",
"West Bengal,Dakshin Dinajpur",
"West Bengal,Darjeeling",
"West Bengal,Hooghly",
"West Bengal,Jalpaiguri",
"West Bengal,Kolkata",
"West Bengal,Malda",
"West Bengal,Murshidabad",
"West Bengal,Nadia",
"West Bengal,North 24 Parganas",
"West Bengal,Purba Bardhaman",
"West Bengal,Purba Medinipur",
"West Bengal,Purulia",
"West Bengal,South 24 Parganas",
"West Bengal,Paschim Bardhaman",
"West Bengal,Paschim Medinipur",
"West Bengal,Uttar Dinajpur",
"Andaman and Nicobar Islands,North and Middle Andaman",
"Andaman and Nicobar Islands,South Andaman",
"Andaman and Nicobar Islands,Little Andaman",
"Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli",
"Dadra and Nagar Haveli and Daman and Diu,Daman",
"Dadra and Nagar Haveli and Daman and Diu,Diu",
"Ladakh,Kargil",
"Ladakh,Leh",
"Lakshadweep,Aminidivi",
"Lakshadweep,Kavaratti",
"Lakshadweep,Minicoy",
"Lakshadweep,Agatti",
"Puducherry,Karaikal",
"Puducherry,Mahé",
"Puducherry,Puducherry",
"Puducherry,Yanam",
